nid,catalog_symbol,component,module,library,cluster,priority,confidence,abi_summary,return_error_contract,output_state_contract,implementation_gate,function_entry,function_body_addresses,instruction_count,function_body_sha256,decompile_sha256,decompile_completed,evidence_file
crb5j7mkk1c,_is_signal_return,Kernel,libkernel,libkernel,kernel_signal,medium,high,uint64(void *candidate),"Returns 1 for the primary trampoline, 2 for recognized table/region entries, otherwise 0",Read-only classification against signal-return trampoline metadata,Bind classifications to SharpEmu's actual signal trampoline addresses,00027af0,142,36,785fc6507120c6d6376aab904deeec50719798fa3a4c443be620c076024a08e3,02217d1a34c42d443c591a805ea473dc00c7c86bd461533c9660dbe949cc4a4a,true,remote-results/kernel-variants-40x2/job-001/evidence.json
NhpspxdjEKU,_nanosleep,Kernel,libkernel,libkernel,kernel_posix_syscall,medium,medium,Standard named POSIX ABI; Ghidra proves a direct syscall/error-helper wrapper,Raw syscall result; carry/error path enters the shared errno helper,Preserve the named OS operation and its output/state effects,"Model standard operation and errno; decompiler constants are syscall IDs, not success returns",000010e0,24,7,1b951c14997567d9062443421810f29d9de33031c952eb743daafb8ad0cf53a1,b53c3819207d0e502181643c96771782586b79e9c645c450ae372d6dcd5ebe49,true,remote-results/kernel-variants-40x2/job-002/evidence.json
hHlZQUnlxSM,getrusage,Kernel,libkernel,libkernel,kernel_posix_syscall,medium,medium,Standard named POSIX ABI; Ghidra proves a direct syscall/error-helper wrapper,Raw syscall result; carry/error path enters the shared errno helper,Preserve the named OS operation and its output/state effects,"Model standard operation and errno; decompiler constants are syscall IDs, not success returns",00000b60,24,7,b489c858d2e0572ba342844b91345aa834c9fc8277124f45aaf1ef3ef26febd0,06b54a15683e9dbb44d2d1857c61b29be63dde769e06a5ed3c0f4f5867f955d9,true,remote-results/kernel-variants-40x2/job-003/evidence.json
c7ZnT7V1B98,rmdir,Kernel,libkernel,libkernel,kernel_posix_syscall,medium,medium,Standard named POSIX ABI; Ghidra proves a direct syscall/error-helper wrapper,Raw syscall result; carry/error path enters the shared errno helper,Preserve the named OS operation and its output/state effects,"Model standard operation and errno; decompiler constants are syscall IDs, not success returns",00000d40,24,7,eaf0c63df0223739da6d2f237fd09f39ed9eb85452037154b3ea3d9aca8af9b2,5d1748b9269b6044f8b25792bf39ff52ef25f4b56fcc981861b2b3faf38cedf3,true,remote-results/kernel-variants-40x2/job-004/evidence.json
QzB4O+bJQyA,sceKernelAprResolveFilepathsToIdsAndFileSizesForEach,Kernel,libkernel,libkernel,kernel_apr_path_resolution,high,medium,SysV arguments shown in Ghidra preview; exact parameter count retained in evidence,ForEach wrappers return helper result; negative helper path maps errno to 0x80020000 + errno (zero errno -> zero),Shared helper populates IDs/file sizes and may invoke callback; helper semantics still require a focused Ghidra pass,Do not stub success; recover FUN_00002ae0 output/callback behavior first,00041490,111,38,01f393982b58ba83357710599db71bac7f2dee0856e9a0f744969dec0c07c0d8,8b03a713ed831fe3d3b3ccbbf197a64879f5bcd6feb65164d4dbd6e39dace017,true,remote-results/kernel-variants-40x2/job-005/evidence.json
eYAh2vlCY-U,sceKernelAprResolveFilepathsToIdsForEach,Kernel,libkernel,libkernel,kernel_apr_path_resolution,high,medium,SysV arguments shown in Ghidra preview; exact parameter count retained in evidence,ForEach wrappers return helper result; negative helper path maps errno to 0x80020000 + errno (zero errno -> zero),Shared helper populates IDs/file sizes and may invoke callback; helper semantics still require a focused Ghidra pass,Do not stub success; recover FUN_00002ae0 output/callback behavior first,00041420,111,38,50f6a08e1f0adaadd0cd1f967542c1ddf4bef666f2c5706514d6dd8f76a4146b,c110b835fdc5ad4f2903a5bdcdfae62c80a684a27f3ac70d9d4096293eaeab2e,true,remote-results/kernel-variants-40x2/job-006/evidence.json
i3HWvW35jao,sceKernelAprResolveFilepathsWithPrefixToIds,Kernel,libkernel,libkernel,kernel_apr_path_resolution,high,medium,SysV arguments shown in Ghidra preview; exact parameter count retained in evidence,ForEach wrappers return helper result; negative helper path maps errno to 0x80020000 + errno (zero errno -> zero),Shared helper populates IDs/file sizes and may invoke callback; helper semantics still require a focused Ghidra pass,Do not stub success; recover FUN_00002ae0 output/callback behavior first,000413d0,36,12,03d71f5be84d1253b6458134c666f36dfcdab7912872b3366ed23210b12cab42,df5df788fe40d41cc6644ffd8505c45c9bb3416face4a5d6aeadd9c26d802eee,true,remote-results/kernel-variants-40x2/job-007/evidence.json
w5fcCG+t31g,sceKernelAprResolveFilepathsWithPrefixToIdsAndFileSizes,Kernel,libkernel,libkernel,kernel_apr_path_resolution,high,medium,SysV arguments shown in Ghidra preview; exact parameter count retained in evidence,ForEach wrappers return helper result; negative helper path maps errno to 0x80020000 + errno (zero errno -> zero),Shared helper populates IDs/file sizes and may invoke callback; helper semantics still require a focused Ghidra pass,Do not stub success; recover FUN_00002ae0 output/callback behavior first,00041400,30,10,713575709673cca03c9b676d16e881f8608af9141dbc598f12b1f85d368957fa,1f0b911e0cc5b0a993bd133392a5e8e937e732b1f070439f4db5c5bcd6def9a5,true,remote-results/kernel-variants-40x2/job-008/evidence.json
C+Khtbbx2g8,sceKernelAprResolveFilepathsWithPrefixToIdsAndFileSizesForEach,Kernel,libkernel,libkernel,kernel_apr_path_resolution,high,medium,SysV arguments shown in Ghidra preview; exact parameter count retained in evidence,ForEach wrappers return helper result; negative helper path maps errno to 0x80020000 + errno (zero errno -> zero),Shared helper populates IDs/file sizes and may invoke callback; helper semantics still require a focused Ghidra pass,Do not stub success; recover FUN_00002ae0 output/callback behavior first,00041570,97,33,46e1aad525b06b2b1a97e318973a8189a63cf485715ac5a9def9fd5c30f22742,0296eaac4eacba54b37b50ebbf76deab8a3a83286ad7828dbb723f5a9d7f07f7,true,remote-results/kernel-variants-40x2/job-009/evidence.json
VB-BtuIW8Xc,sceKernelAprResolveFilepathsWithPrefixToIdsForEach,Kernel,libkernel,libkernel,kernel_apr_path_resolution,high,medium,SysV arguments shown in Ghidra preview; exact parameter count retained in evidence,ForEach wrappers return helper result; negative helper path maps errno to 0x80020000 + errno (zero errno -> zero),Shared helper populates IDs/file sizes and may invoke callback; helper semantics still require a focused Ghidra pass,Do not stub success; recover FUN_00002ae0 output/callback behavior first,00041500,100,34,448439608c358b6a3be8524df40b7474c440d29dcf03960d02d10626f558af4d,76d32a7a48b64943900c5f9a173b0823d2387f3e546ad6eb07d1b1e66cc63c84,true,remote-results/kernel-variants-40x2/job-010/evidence.json
